ra,dec,vmag,colour
297.3553869,-72.50341408,5.39,FFFFFFFF
241.4828412,-72.40107181,5.70,FFFFFFFF
171.0465711,-72.25660192,5.55,FFFFFFFF
336.1432949,-72.25377388,5.28,FFFFFFFF
194.1321673,-72.18518249,5.93,FFFFFFFF
188.117129,-72.1329759,3.84,FFFFFFFF
157.5836462,-71.99271995,4.72,FFFFFFFF
192.4372899,-71.98624542,5.55,FFFFFFFF
45.56415553,-71.90249547,5.51,FFFFFFFF
141.7770753,-71.60209195,5.46,FFFFFFFF
195.5657397,-71.54879865,3.61,FFFFFFFF
124.9541482,-71.51499632,5.33,FFFFFFFF
125.0023296,-71.50546247,5.63,FFFFFFFF
195.7723352,-71.47572327,5.93,FFFFFFFF
1.17188841,-71.43685835,5.59,FFFFFFFF
280.758891,-71.42772867,4.01,FFFFFFFF
75.67918703,-71.31432608,5.30,FFFFFFFF
248.5807059,-70.98806509,5.50,FFFFFFFF
102.8624129,-70.96347336,5.41,FFFFFFFF
70.76644496,-70.93111187,5.53,FFFFFFFF
166.7080382,-70.87793836,5.58,FFFFFFFF
163.4255392,-70.72033781,5.99,FFFFFFFF
201.4599951,-70.62725069,5.65,FFFFFFFF
136.4099252,-70.53852074,4.66,FFFFFFFF
107.1867688,-70.49919435,3.78,FFFFFFFF
107.1764228,-70.49734046,5.68,FFFFFFFF
336.293299,-70.4314706,5.78,FFFFFFFF
129.7713677,-70.38665235,5.19,FFFFFFFF
177.4859461,-70.2257858,4.98,FFFFFFFF
318.3351602,-70.12621725,5.06,FFFFFFFF
260.5244957,-70.12317887,5.39,FFFFFFFF
126.8199481,-70.09359517,5.51,FFFFFFFF
247.1158385,-70.08467012,4.90,FFFFFFFF
228.579866,-70.07945566,5.75,FFFFFFFF
153.4344955,-70.03792169,3.29,FFFFFFFF
95.65929247,-69.98412773,5.56,FFFFFFFF
197.9640897,-69.94201974,5.92,FFFFFFFF
138.3010033,-69.71747245,1.67,FFFFFFFF
96.36937934,-69.69078672,5.37,FFFFFFFF
327.6967735,-69.62940458,5.52,FFFFFFFF
5.16267858,-69.62491154,5.50,FFFFFFFF
13.75124739,-69.52697888,5.45,FFFFFFFF
322.1866138,-69.5052732,5.47,FFFFFFFF
207.9475983,-69.40124669,5.73,FFFFFFFF
51.40105611,-69.33659399,5.96,FFFFFFFF
254.8915924,-69.26813178,5.79,FFFFFFFF
180.6573196,-69.19227106,5.89,FFFFFFFF
299.6715746,-69.16371251,5.74,FFFFFFFF
189.2961821,-69.13553358,2.69,FFFFFFFF
252.1661074,-69.02763503,1.91,FFFFFFFF
18.93956391,-68.87623708,4.25,FFFFFFFF
92.18476724,-68.84345717,5.06,FFFFFFFF
346.2172852,-68.82037973,5.53,FFFFFFFF
312.3261463,-68.77640032,5.41,FFFFFFFF
285.8736789,-68.7555329,5.89,FFFFFFFF
139.322502,-68.68957252,5.38,FFFFFFFF
135.2853648,-68.68391841,5.89,FFFFFFFF
152.3758317,-68.68283264,5.80,FFFFFFFF
229.7278701,-68.67946723,2.87,FFFFFFFF
35.43759585,-68.6594239,4.08,FFFFFFFF
121.98267,-68.61713647,4.35,FFFFFFFF
238.873389,-68.60298616,5.11,FFFFFFFF
292.7955958,-68.43388713,5.98,FFFFFFFF
287.4692597,-68.42434424,5.31,FFFFFFFF
181.1622784,-68.32889673,5.34,FFFFFFFF
231.5605344,-68.30918936,5.89,FFFFFFFF
185.5501432,-68.30719873,5.73,FFFFFFFF
250.3463767,-68.2960944,5.89,FFFFFFFF
39.8967653,-68.2669476,4.12,FFFFFFFF
216.276413,-68.19532385,5.56,FFFFFFFF
191.5702901,-68.10809405,3.04,FFFFFFFF
184.394318,-67.96067161,4.06,FFFFFFFF
109.2076284,-67.95717248,3.97,FFFFFFFF
244.2728418,-67.94107968,5.95,FFFFFFFF
104.9607414,-67.91701197,5.18,FFFFFFFF
198.8124908,-67.8945633,4.79,FFFFFFFF
33.56042796,-67.84155199,5.57,FFFFFFFF
260.4980616,-67.7706496,4.76,FFFFFFFF
33.86899336,-67.74633515,5.67,FFFFFFFF
217.8182753,-67.71705401,5.84,FFFFFFFF
208.7047373,-67.6520644,5.74,FFFFFFFF
28.73339519,-67.64748114,4.68,FFFFFFFF
174.4521135,-67.62035361,5.94,FFFFFFFF
41.38555249,-67.616724,4.83,FFFFFFFF
185.5307777,-67.52209279,5.15,FFFFFFFF
337.1560048,-67.48888731,5.56,FFFFFFFF
284.2376694,-67.23353511,4.40,FFFFFFFF
258.3254689,-67.19637197,5.87,FFFFFFFF
78.43927858,-67.18534976,4.81,FFFFFFFF
251.6667253,-67.10965828,5.10,FFFFFFFF
227.3746641,-67.08412683,5.76,FFFFFFFF
173.0833185,-66.9618349,5.89,FFFFFFFF
300.0962771,-66.94888773,5.75,FFFFFFFF
300.4683503,-66.94379223,5.32,FFFFFFFF
155.7424136,-66.90152522,4.97,FFFFFFFF
87.47313958,-66.9012309,5.10,FFFFFFFF
177.0603726,-66.81487085,4.75,FFFFFFFF
132.6445031,-66.79322494,5.34,FFFFFFFF
199.3043125,-66.78342263,4.86,FFFFFFFF
310.4877628,-66.76062542,5.14,FFFFFFFF
176.4023639,-66.72884344,3.63,FFFFFFFF
142.127491,-66.70198874,5.90,FFFFFFFF
289.3009166,-66.66103756,5.52,FFFFFFFF
285.0147768,-66.65351408,5.98,FFFFFFFF
222.1856717,-66.59353612,5.91,FFFFFFFF
214.1613584,-66.58788092,5.72,FFFFFFFF
5.00797581,-64.8776232,4.23,FFFFFFFF
52.71534366,-66.4897181,5.81,FFFFFFFF
135.6116618,-66.39584369,4.00,FFFFFFFF
153.3778442,-66.37283938,5.15,FFFFFFFF
234.1799454,-66.31690469,4.11,FFFFFFFF
210.219227,-66.26885149,5.96,FFFFFFFF
198.2031929,-66.22676607,5.91,FFFFFFFF
311.2398153,-66.20323826,3.42,FFFFFFFF
117.4208166,-66.19597303,5.78,FFFFFFFF
302.1744171,-66.17932101,3.55,FFFFFFFF
