object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour,object_type_text
154,Deepsky,Galaxy,12.31666667,346.225,,,,,,,44,7479,,Peg,11,,106000000,6BFFBFFF,Barred Spiral Galaxy
155,Deepsky,Galaxy,8.88333333,204.375,,,,,,,45,5248,,Boo,10.2,,74000000,6BFFBFFF,Spiral Galaxy
156,Deepsky,Nebula,8.73333333,99.8,Hubble's Variable Nebula,,,,,,46,2261,,Mon,10,,2500,6BFFBFFF,Blushing Nebula
157,Deepsky,GlobularCluster,7.4,308.55,,,,,,,47,6934,,Del,8.9,,57000,6BFFBFFF,Globular Cluster
158,Deepsky,Galaxy,7.03333333,137.575,,,,,,,48,2775,,Cnc,10.3,,55000000,6BFFBFFF,Spiral Galaxy
159,Deepsky,Nebula,5.05,98.075,Rosette Nebula,,,,,,49,2237,,Mon,9,,4900,6BFFBFFF,Blushing Nebula
160,Deepsky,OpenCluster,4.86666667,98.1,,,,,,,50,2244,,Mon,4.8,,4900,6BFFBFFF,Open Cluster
161,Deepsky,Galaxy,2.11666667,16.2,,,,,,,51,,1613,Cet,9,,2300000,6BFFBFFF,Irregular Galaxy
162,Deepsky,Galaxy,-5.8,192.15,,,,,,,52,4697,,Vir,9.3,,76000000,6BFFBFFF,Elliptical Galaxy
163,Deepsky,Galaxy,-7.71666667,151.3,Spindle Galaxy,,,,,,53,3115,,Sex,9.1,,22000000,6BFFBFFF,Elliptical Galaxy
164,Deepsky,OpenCluster,-10.78333333,120.05,,,,,,,54,2506,,Mon,7.6,,10000,6BFFBFFF,Open Cluster
165,Deepsky,PlanetaryNebula,-11.36666667,316.05,Saturn Nebula,,,,,,55,7009,,Aqr,8.3,,1400,6BFFBFFF,Planetary Nebula
166,Deepsky,PlanetaryNebula,-11.88333333,11.75,,,,,,,56,246,,Cet,8,,1600,6BFFBFFF,Planetary Nebula
167,Deepsky,Galaxy,-14.8,296.225,Barnard's Galaxy,,,,,,57,6822,,Sgr,9.3,,2300000,6BFFBFFF,Irregular Galaxy
168,Deepsky,OpenCluster,-15.61666667,109.45,,,,,,,58,2360,,CMa,7.2,,3700,6BFFBFFF,Open Cluster
