object_id,object_category,object_type,dec,ra,proper_names,bayer_designation,flamsteed_designation,hipparcos_number,hd_number,messier_number,caldwell_number,ngc_number,ic_number,constellations_abbreviations,mag,bv,distance,colour,object_type2
45,Deepsky,Galaxy,24.12,56.75,Pleiades;Subaru;Seven Sisters,,,,,45,,,,Tau,1.6,,380,6BEEFFFF,Open Cluster
46,Deepsky,Galaxy,-14.81666667,115.45,,,,,,46,,2437,,Pup,6,,5400,6BEEFFFF,Open Cluster
47,Deepsky,Galaxy,-14.5,114.15,,,,,,47,,2422,,Pup,5.2,,1600,6BEEFFFF,Open Cluster
48,Deepsky,Galaxy,-5.8,123.45,,,,,,48,,2548,,Hya,5.5,,1500,6BEEFFFF,Open Cluster
49,Deepsky,Galaxy,8,187.45,,,,,,49,,4472,,Vir,8.4,,60000000,6BEEFFFF,Elliptical Galaxy
50,Deepsky,Galaxy,-8.33333333,105.8,,,,,,50,,2323,,Mon,6.3,,3000,6BEEFFFF,Open Cluster
51,Deepsky,Galaxy,47.2,202.475,Whirlpool Galaxy,,,,,51,,5194,,CVn,8.4,,37000000,6BEEFFFF,Spiral Galaxy
52,Deepsky,Galaxy,61.58333333,351.05,,,,,,52,,7654,,Cas,7.3,,5000,6BEEFFFF,Open Cluster
53,Deepsky,Galaxy,18.16666667,198.225,,,,,,53,,5024,,Com,7.6,,56400,6BEEFFFF,Globular Cluster
54,Deepsky,Galaxy,-30.48333333,283.775,,,,,,54,,6715,,Sgr,7.6,,82800,6BEEFFFF,Globular Cluster
55,Deepsky,Galaxy,-30.96666667,295,,,,,,55,,6809,,Sgr,6.3,,16600,6BEEFFFF,Globular Cluster
56,Deepsky,Galaxy,30.18333333,289.15,,,,,,56,,6779,,Lyr,8.3,,31600,6BEEFFFF,Globular Cluster
57,Deepsky,Galaxy,33.03333333,283.4,Ring Nebula,,,,,57,,6720,,Lyr,8.8,,4100,6BEEFFFF,Planetary Nebula
58,Deepsky,Galaxy,11.81666667,189.425,,,,,,58,,4579,,Vir,9.7,,60000000,6BEEFFFF,Spiral Galaxy
59,Deepsky,Galaxy,11.65,190.5,,,,,,59,,4621,,Vir,9.6,,60000000,6BEEFFFF,Elliptical Galaxy
60,Deepsky,Galaxy,11.55,190.925,,,,,,60,,4649,,Vir,8.8,,60000000,6BEEFFFF,Elliptical Galaxy
61,Deepsky,Galaxy,4.46666667,185.475,,,,,,61,,4303,,Vir,9.7,,60000000,6BEEFFFF,Spiral Galaxy
62,Deepsky,Galaxy,-30.11666667,255.3,,,,,,62,,6266,,Oph,6.5,,21500,6BEEFFFF,Globular Cluster
63,Deepsky,Galaxy,42.03333333,198.95,Sunflower Galaxy,,,,,63,,5055,,CVn,8.6,,37000000,6BEEFFFF,Spiral Galaxy
64,Deepsky,Galaxy,21.68333333,194.175,Blackeye Galaxy;Sleeping Beauty Galaxy; Evil Eye Galaxy,,,,,64,,4826,,Com,8.5,,19000000,6BEEFFFF,Spiral Galaxy
65,Deepsky,Galaxy,13.08333333,169.725,,,,,,65,,3623,,Leo,9.3,,35000000,6BEEFFFF,Spiral Galaxy
66,Deepsky,Galaxy,12.98333333,170.05,,,,,,66,,3627,,Leo,8.9,,35000000,6BEEFFFF,Spiral Galaxy
67,Deepsky,Galaxy,11.81666667,132.6,,,,,,67,,2682,,Cnc,6.1,,2700,6BEEFFFF,Open Cluster
68,Deepsky,Galaxy,-26.75,189.875,,,,,,68,,4590,,Hya,7.8,,33300,6BEEFFFF,Globular Cluster
69,Deepsky,Galaxy,-32.35,277.85,,,,,,69,,6637,,Sgr,7.6,,26700,6BEEFFFF,Globular Cluster
70,Deepsky,Galaxy,-32.3,280.8,,,,,,70,,6681,,Sgr,7.9,,28000,6BEEFFFF,Globular Cluster
71,Deepsky,Galaxy,18.78333333,298.45,,,,,,71,,6838,,Sge,8.3,,11700,6BEEFFFF,Globular Cluster
72,Deepsky,Galaxy,-12.53333333,313.375,,,,,,72,,6981,,Aqr,9.3,,52800,6BEEFFFF,Globular Cluster
73,Deepsky,Galaxy,-12.63333333,314.75,,,,,,73,,6994,,Aqr,9,,2000,6BEEFFFF,Group/Asterism
74,Deepsky,Galaxy,15.78333333,24.175,,,,,,74,,628,,Psc,9.4,,35000000,6BEEFFFF,Spiral Galaxy
75,Deepsky,Galaxy,-21.91666667,301.525,,,,,,75,,6864,,Sgr,8.5,,57700,6BEEFFFF,Globular Cluster
76,Deepsky,Galaxy,51.56666667,25.575,Little Dumbell Nebula;Cork Nebula;Butterfly Nebula;Barbell Nebula,,,,,76,,650,,Per,10.1,,3400,6BEEFFFF,Planetary Nebula
