object_id,hip_id,ra,dec,vmag,bv,name,bayer,flamsteed,constellations
0,111,0.34984681,34.28184822,11.28,1.308,,,,
0,112,0.35767634,-16.94844609,10.76,1.384,,,,
0,113,0.36561966,49.01040602,8.93,0.021,,,,
0,114,0.37164702,30.73578537,7.95,0.654,,,,
0,115,0.37258484,-62.92313043,7.46,0.16,,,,
0,116,0.37532319,-33.79277101,8.6,0.435,,,,
0,117,0.38055656,-72.60589935,8.55,1.093,,,,
0,118,0.38659514,-9.43003328,9.2,0.606,,,,
0,119,0.39016602,44.67540116,6.82,1.071,,,,
0,120,0.39592082,-45.34475878,8.29,1.183,,,,
0,121,0.39642463,28.42369128,6.83,1.197,,,,
0,122,0.39876554,-77.06572447,4.78,1.254,,tet Oct,,
0,123,0.39988475,72.23661528,7.21,1.169,,,,
0,124,0.40423123,61.2228008,5.58,0.407,,,,
0,125,0.40467015,-39.33674829,8.7,0.366,,,,
0,126,0.40882673,14.63232402,8.06,0.969,,,,
0,127,0.41224611,-48.93561927,10.86,0.942,,,,
0,128,0.41441548,73.6118466,6.5,0.182,,,,
0,129,0.41561535,5.37280823,9.32,0.559,,,,
0,130,0.41829818,-30.69253681,9.14,1.08,,,,
0,131,0.41986828,62.01808739,8.13,0.2,,,,
0,132,0.42202106,-34.65354522,10.62,0.358,,,,
0,133,0.42347606,-40.14870204,6.62,0.545,,,,
0,134,0.42519683,-1.1399598,9.96,0.264,,,,
0,135,0.42679631,-0.21777675,8.64,0.62,,,,
0,136,0.42869158,24.25311272,6.6,1.153,,,,
0,137,0.43270606,42.36714391,6.25,-0.042,,,,
0,138,0.43744428,-16.5316612,7.83,1.074,,,,
0,139,0.44526953,67.50697513,10.03,1.289,,,,
0,140,0.45333249,-68.10489746,9.04,0.546,,,,
0,141,0.45349432,36.35035821,8.47,1.35,,,,
0,142,0.45377733,66.30603196,7.33,0.73,,,,
0,144,0.45527839,76.1755975,8.66,1.364,,,,
0,143,0.4556469,21.46250254,10.35,1.033,,,,
0,145,0.45603512,-3.02750382,5.13,-0.128,,,29 Psc,
0,146,0.45583888,-25.79852585,8.96,0.306,,,,
0,147,0.46605992,21.02623628,8.49,1.569,,,,
0,149,0.47784764,26.00404934,11.26,0.932,,,,
0,148,0.47882106,15.52854154,8.15,0.584,,,,
0,150,0.4803049,-37.22995274,7.04,1.06,,,,
0,152,0.48441895,-28.13094807,10.02,0.456,,,,
0,153,0.48451136,12.654888,8.9,0.459,,,,
0,151,0.48487414,-41.61377446,7.78,0.411,,,,
0,154,0.490079,-6.01407212,4.37,1.631,,,30 Psc,
0,155,0.49119228,46.26915575,9.93,0.283,,,,
0,156,0.49693015,63.35782626,8.6,0.1,,,,
0,157,0.50042391,-5.21392543,8.51,0.903,,,,
0,158,0.500846,-37.90187789,7.09,0.999,,,,
0,159,0.51090686,-2.76617076,6.93,0.292,,,,
0,160,0.5118149,-69.26919827,8.68,-0.052,,,,
0,161,0.51241249,33.69595795,8.98,1.5,,,,
0,162,0.51335418,27.11860266,9.84,0.696,,,,
0,163,0.51719002,-30.68522817,8.98,0.107,,,,
0,164,0.51913604,59.9401017,7.98,0.97,,,,
0,165,0.51973254,-22.32748652,10.16,0.45,,,,
0,166,0.52131713,-56.51493086,8.86,0.66,,,,
0,167,0.5278262,39.18320298,8.58,0.06,,,,
0,168,0.53342869,-2.82007225,9.56,1.113,,,,
0,169,0.53638347,-68.28076934,9.24,1.39,,,,
0,170,0.53760041,-20.87166237,9.63,0.509,,,,
0,171,0.54231321,27.08225603,5.8,0.69,,,85 Peg,
0,172,0.54287145,67.40895248,9.05,0.976,,,,
0,173,0.54956853,47.57720574,8.45,0.248,,,,
0,174,0.55164054,59.96533801,8.86,1.035,,,,
0,175,0.55240791,49.77108613,7.84,0.923,,,,
0,176,0.55339881,44.42826215,8.86,0.53,,,,
0,177,0.56022766,-11.96435201,8.93,0.172,,,,
0,178,0.56806828,-27.13515294,7.97,0.556,,,,
0,179,0.56951496,-13.40743745,6.9,0.534,,,,
0,180,0.57091201,-9.17492787,8.47,1.171,,,,
0,181,0.57377241,60.70316774,6.77,1.832,,,,
0,182,0.58119521,52.58640676,8.55,1.004,,,,
0,183,0.58300278,-29.72041402,5.04,-0.15,,zet Scl,,
0,184,0.58976909,11.00623589,8.48,0.888,,,,
0,185,0.59003804,10.78536258,8.53,0.53,,,,
0,186,0.60069578,8.95682361,6.33,0.182,,,31 Psc,
0,187,0.6022829,-6.05927004,8.99,0.5,,,,
0,188,0.60269378,6.33301295,8.64,0.488,,,,
0,189,0.60523349,54.13513943,9.55,0.237,,,,
0,190,0.60543412,10.77636367,8.74,0.57,,,,
0,191,0.61296062,-46.02889583,12.43,1.49,,,,
0,192,0.61982682,8.39385941,8.16,1.032,,,,
0,193,0.6217302,-39.21259132,9.46,0.944,,,,
0,194,0.62375948,8.48546309,5.7,0.315,,c Psc,32 Psc,
0,195,0.62578106,47.42289022,7.62,0.517,,,,
0,196,0.62700573,51.82997606,8.95,1.677,,,,
0,197,0.63230374,42.14777942,8.97,0.952,,,,
0,198,0.63274867,15.33517277,8.94,0.276,,,,
0,199,0.63500427,16.25656482,7.24,0.074,,,,
0,200,0.635489,-33.99263266,10.32,0.323,,,,
0,201,0.63928016,18.6834067,8.24,0.474,,,,
0,202,0.6417406,54.55213943,8.62,0.303,,,,
0,203,0.64228628,-15.83125154,9.18,0.981,,,,
0,204,0.64522599,-43.94792912,8.53,1.274,,,,
0,205,0.64565065,-5.18665127,8.54,0.384,,,,
0,206,0.64679242,18.83604389,8.56,0.436,,,,
0,208,0.65006817,-67.63428758,9.41,0.967,,,,
0,207,0.65036241,66.09896618,5.87,1.073,,,,
0,209,0.66020813,66.10039934,7.2,0.085,,,,
0,210,0.66214199,-8.48795514,9.05,0.47,,,,
0,211,0.66322162,-37.9477206,9.52,0.832,,,,
0,212,0.66350951,-29.07524751,10.24,0.318,,,,
0,213,0.66703053,51.47240065,7.7,1.003,,,,
0,214,0.66917249,28.54222129,8.17,0.29,,,,
0,217,0.6741996,82.97320207,7.29,0.118,,,,
0,215,0.6745288,75.03621111,9.26,1.8,,,,
0,216,0.67688309,42.92064866,7.94,0.016,,,,
0,218,0.67962752,-57.63367009,8.42,1.005,,,,
0,219,0.69030731,6.03440041,8.56,0.602,,,,
0,220,0.69178071,35.81546717,7.52,0.18,,,,
0,221,0.69389968,80.28228312,7.74,0.483,,,,
0,222,0.69447094,-40.98322936,8.85,1.113,,,,
0,224,0.69625925,3.86041554,9.01,1.01,,,,
0,223,0.69656258,2.13015466,7.17,0.617,,,,
0,225,0.70011748,-15.0405427,9.04,0.489,,,,
0,226,0.70045771,-24.94529819,10.3,0.254,,,,
0,227,0.70486772,80.28657864,9.86,0.442,,,,
0,228,0.71026643,28.25190494,7.64,0.532,,,,
0,229,0.71400195,47.25226828,8.27,0.128,,,,
0,230,0.71588439,30.33654203,8.44,0.423,,,,
0,231,0.72376531,-58.78139811,9.58,0.5,,,,
0,232,0.73011815,-30.1497729,8.43,0.007,,,,
0,233,0.73192307,71.35851633,8.49,1.18,,,,
0,234,0.73360898,70.23800039,9.64,0.31,,,,
0,235,0.73645358,71.3680304,9.17,1.222,,,,
0,236,0.73786383,-0.89387393,8.09,1.26,,,,
0,237,0.73930196,-39.52741249,9.0,0.903,,,,
0,238,0.73953381,-20.04588213,6.25,0.526,,,,
0,239,0.74318627,3.38193212,8.56,0.521,,,,
0,240,0.74372989,9.79523094,10.81,0.565,,,,
0,241,0.75201949,9.13827954,8.76,1.01,,,,
0,242,0.75223058,-34.74393947,7.76,0.967,,,,
0,243,0.75334939,-60.69190077,7.82,1.041,,,,
0,244,0.75887055,39.9951445,7.9,0.668,,,,
0,245,0.76373457,-7.81551702,8.52,1.036,,,,
0,246,0.76447389,56.73329801,9.73,0.99,,,,
0,247,0.76543539,8.26129265,9.19,0.346,,,,
0,248,0.76566312,8.27068331,8.1,0.342,,,,
0,249,0.77422454,31.87008299,8.75,0.552,,,,
0,250,0.77428517,52.46512853,8.14,0.88,,,,
0,251,0.77533062,-25.26111411,8.65,1.349,,,,
0,252,0.77963675,29.48597889,10.3,1.082,,,,
0,253,0.78273045,-24.14514551,6.46,1.176,,,,
0,254,0.78477808,42.74790772,6.73,0.051,,,,
0,255,0.79466388,-24.58825825,7.96,0.421,,,,
0,256,0.79660051,54.51577435,9.53,0.461,,,,
0,257,0.80306808,-31.21238392,8.87,0.081,,,,
0,258,0.80547707,17.55226848,6.59,1.122,,,,
0,259,0.80590428,48.72229408,8.65,1.455,,,,
0,260,0.81722957,-55.4050706,9.64,0.432,,,,
0,261,0.82053483,-23.6154345,9.15,0.424,,,,
0,262,0.82594644,32.84586402,9.04,0.422,,,,
0,263,0.82917824,4.68692819,12.04,1.473,,,,
0,264,0.83207677,38.2440121,8.42,1.174,,,,
0,266,0.83533249,-11.94536721,8.09,1.125,,,,
0,265,0.83538029,-64.47609487,9.06,1.688,,,,
0,267,0.83535529,-4.14575712,8.09,0.455,,,,
0,268,0.8417885,59.07860511,8.18,1.462,,,,
0,269,0.84202483,23.57503442,8.77,1.125,,,,
0,270,0.84986829,73.17449682,7.36,0.146,,,,
0,271,0.85283749,-35.96516429,9.16,0.232,,,,
0,272,0.85555187,-26.41518524,8.82,0.979,,,,
0,273,0.85686239,-46.83097254,11.14,0.041,,,,
0,274,0.85713616,63.64051986,6.24,0.332,,,,
0,275,0.8576069,-29.00066262,9.44,0.439,,,,
0,276,0.85806046,20.6655296,7.49,0.636,,,,
0,277,0.85949749,-36.25119274,6.96,0.353,,,,
0,278,0.86311523,55.55090041,7.94,-0.023,,,,
0,279,0.86376741,62.35780623,8.69,0.12,,,,
0,280,0.86620387,53.31268879,8.15,0.134,,,,
0,281,0.87620297,55.05996069,8.45,1.655,,,,
0,282,0.87642728,19.38149604,7.92,1.408,,,,
0,283,0.877118,12.35682055,7.45,0.353,,,,
0,284,0.878474,-65.82750503,9.01,0.956,,,,
0,285,0.88084109,-35.60222969,8.55,1.212,,,,
0,286,0.88150706,78.71782598,9.23,1.006,,,,
0,287,0.88585382,-13.22729208,9.16,1.538,,,,
0,288,0.88908471,42.35210606,7.9,1.071,,,,
0,289,0.90238138,-51.80909975,8.68,1.011,,,,
0,290,0.90438013,-31.0941366,7.78,0.563,,,,
0,291,0.90457362,-28.41713701,8.21,-0.123,,,,
0,292,0.90878424,70.30602855,8.11,-0.019,,,,
0,293,0.91601461,-57.16446242,8.29,0.488,,,,
0,294,0.91709908,3.90697339,7.89,0.401,,,,
0,295,0.91870509,-41.0958852,9.67,0.397,,,,
0,296,0.92285275,-28.39619559,8.24,0.78,,,,
0,297,0.92435158,48.43690676,6.8,0.06,,,,
0,298,0.92702365,13.36516634,8.18,1.015,,,,
0,299,0.93373861,-63.60066661,8.44,0.508,,,,
0,301,0.93495762,-17.33598771,4.55,-0.047,,,2 Cet,
0,300,0.93515893,42.02352224,7.45,0.244,,,,
0,302,0.96516239,66.71218292,6.31,1.629,,,,
0,303,0.96930336,57.37827755,8.15,0.316,,,,
0,304,0.96979117,22.2960473,8.27,0.136,,,,
0,305,0.97230766,-28.39381227,7.66,0.741,,,,
0,306,0.97542581,-57.83050043,8.59,0.616,,,,
0,307,0.98001043,-42.55948364,11.55,1.26,,,,
0,308,0.98373886,14.37886425,7.09,0.303,,,,
0,309,0.98594078,-45.288616,8.54,0.23,,,,
0,310,0.98776442,-43.19181318,9.58,0.7,,,,
0,311,0.98763466,36.97025591,8.44,0.456,,,,
0,312,0.98959146,61.10363583,8.59,0.36,,,,
0,313,0.99118777,-48.12518542,8.01,0.406,,,,
0,314,0.99164172,20.95372919,8.29,0.54,,,,
0,315,0.99226508,-71.2787165,9.62,0.657,,,,
0,316,1.00104116,12.14579708,7.26,0.355,,,,
0,317,1.00333029,-80.39511538,7.91,0.314,,,,
0,318,1.00964778,-38.59475382,9.45,1.115,,,,
0,319,1.01580661,62.22195019,8.19,0.26,,,,
0,320,1.02135321,-16.9976418,12.14,,,,,
0,321,1.03296906,-25.89266337,8.93,0.607,,,,
0,322,1.03510472,56.92098338,7.65,0.992,,,,
0,324,1.04240492,17.43664346,8.53,0.491,,,,
0,323,1.04269774,49.87018067,7.38,1.003,,,,
0,325,1.04397341,39.1199022,8.56,0.615,,,,
0,326,1.0448264,11.26437465,8.76,1.692,,,,
