ra,dec,colour,line_width,angular_radius,pixel_radius,angular_width,pixel_width
344.46530375,35.1682358,A66BFF3F,1.0,,,,10.0
344.34285124999997,53.1680298,A66BFF3F,1.0,,,,10.0
351.45289375000004,53.1870041,A66BFF3F,1.0,,,,10.0
351.4656825,50.6870193,A66BFF3F,1.0,,,,10.0
355.27055708333336,50.6929131,A66BFF3F,1.0,,,,10.0
355.27607875,48.6929169,A66BFF3F,1.0,,,,10.0
4.1463675,48.6949348,A66BFF3F,1.0,,,,10.0
4.1432787499999995,46.6949348,A66BFF3F,1.0,,,,10.0
14.776077083333332,46.6757545,A66BFF3F,1.0,,,,10.0
14.7888675,48.6757393,A66BFF3F,1.0,,,,10.0
18.588407916666664,48.6632690,A66BFF3F,1.0,,,,10.0
18.605903750000003,50.6632347,A66BFF3F,1.0,,,,10.0
22.407936250000002,50.6478767,A66BFF3F,1.0,,,,10.0
26.968523749999996,50.6257439,A66BFF3F,1.0,,,,10.0
26.931439583333333,47.6258430,A66BFF3F,1.0,,,,10.0
32.62149125,47.5927505,A66BFF3F,1.0,,,,10.0
32.673801250000004,51.0925827,A66BFF3F,1.0,,,,10.0
39.885478750000004,51.0423737,A66BFF3F,1.0,,,,10.0
39.67934125,37.2931557,A66BFF3F,1.0,,,,10.0
31.871091250000003,37.3470840,A66BFF3F,1.0,,,,10.0
31.854250416666666,35.5971375,A66BFF3F,1.0,,,,10.0
22.910835,35.6453362,A66BFF3F,1.0,,,,10.0
22.89742625,33.6453705,A66BFF3F,1.0,,,,10.0
12.443063749999999,33.6818962,A66BFF3F,1.0,,,,10.0
12.41349125,24.4319324,A66BFF3F,1.0,,,,10.0
14.424064583333333,24.4266243,A66BFF3F,1.0,,,,10.0
14.414815416666666,21.6766376,A66BFF3F,1.0,,,,10.0
3.73992125,21.6951923,A66BFF3F,1.0,,,,10.0
3.7406445833333333,22.6951923,A66BFF3F,1.0,,,,10.0
2.61001625,22.6957588,A66BFF3F,1.0,,,,10.0
2.6128425,28.6957588,A66BFF3F,1.0,,,,10.0
1.6062162500000001,28.6960354,A66BFF3F,1.0,,,,10.0
1.6069770833333334,32.0293655,A66BFF3F,1.0,,,,10.0
357.82874125000006,32.0285034,A66BFF3F,1.0,,,,10.0
357.8280825,32.7785072,A66BFF3F,1.0,,,,10.0
354.0491579166667,32.7746468,A66BFF3F,1.0,,,,10.0
354.04417958333335,35.1913109,A66BFF3F,1.0,,,,10.0
141.904335,-24.5425186,A66BFF3F,1.0,,,,10.0
141.77159875,-37.2920151,A66BFF3F,1.0,,,,10.0
141.73406125,-40.2918739,A66BFF3F,1.0,,,,10.0
166.45650458333333,-40.4246216,A66BFF3F,1.0,,,,10.0
166.47936291666667,-35.6746559,A66BFF3F,1.0,,,,10.0
163.95851541666664,-35.6664963,A66BFF3F,1.0,,,,10.0
163.977885,-31.8332005,A66BFF3F,1.0,,,,10.0
160.20137874999998,-31.8185863,A66BFF3F,1.0,,,,10.0
160.21289375,-29.8186131,A66BFF3F,1.0,,,,10.0
155.18132708333334,-29.7947845,A66BFF3F,1.0,,,,10.0
155.1993375,-27.1281624,A66BFF3F,1.0,,,,10.0
147.65928291666665,-27.0835037,A66BFF3F,1.0,,,,10.0
147.67968125000002,-24.5835705,A66BFF3F,1.0,,,,10.0
209.11110875,-83.1200714,A66BFF3F,1.0,,,,10.0
276.86599791666663,-82.4582748,A66BFF3F,1.0,,,,10.0
274.19506041666665,-74.9745178,A66BFF3F,1.0,,,,10.0
273.2800770833333,-67.4800797,A66BFF3F,1.0,,,,10.0
265.77572875,-67.5711060,A66BFF3F,1.0,,,,10.0
258.2424825,-67.6610870,A66BFF3F,1.0,,,,10.0
258.47067875,-70.1597443,A66BFF3F,1.0,,,,10.0
224.16644125,-70.5115433,A66BFF3F,1.0,,,,10.0
207.46087041666667,-70.6244431,A66BFF3F,1.0,,,,10.0
207.78143375,-75.6235962,A66BFF3F,1.0,,,,10.0
309.59884625,0.4361772,A66BFF3F,1.0,,,,10.0
309.57987749999995,2.4360874,A66BFF3F,1.0,,,,10.0
314.08109708333336,2.4773185,A66BFF3F,1.0,,,,10.0
321.58347125,2.5393796,A66BFF3F,1.0,,,,10.0
323.5842704166667,2.5544112,A66BFF3F,1.0,,,,10.0
323.57874875,3.3043909,A66BFF3F,1.0,,,,10.0
326.58021875000003,3.3256676,A66BFF3F,1.0,,,,10.0
326.58708624999997,2.3256910,A66BFF3F,1.0,,,,10.0
331.58875500000005,2.3576119,A66BFF3F,1.0,,,,10.0
331.58726708333336,2.6076074,A66BFF3F,1.0,,,,10.0
342.84221708333337,2.6622071,A66BFF3F,1.0,,,,10.0
342.8497125,0.6622211,A66BFF3F,1.0,,,,10.0
342.86470375,-3.3377509,A66BFF3F,1.0,,,,10.0
359.10221125,-3.3042023,A66BFF3F,1.0,,,,10.0
359.10329875,-6.3042021,A66BFF3F,1.0,,,,10.0
359.11056458333337,-24.8042011,A66BFF3F,1.0,,,,10.0
346.68096625000004,-24.8250446,A66BFF3F,1.0,,,,10.0
329.77028875,-24.9040413,A66BFF3F,1.0,,,,10.0
329.6561625,-8.4043999,A66BFF3F,1.0,,,,10.0
321.668415,-8.4602947,A66BFF3F,1.0,,,,10.0
321.71645125000003,-14.4601107,A66BFF3F,1.0,,,,10.0
309.74390124999996,-14.5631361,A66BFF3F,1.0,,,,10.0
309.6846479166666,-8.5634165,A66BFF3F,1.0,,,,10.0
280.35020875000004,0.1154895,A66BFF3F,1.0,,,,10.0
280.3262325,2.1153460,A66BFF3F,1.0,,,,10.0
284.5764254166666,2.1659052,A66BFF3F,1.0,,,,10.0
284.525985,6.4156075,A66BFF3F,1.0,,,,10.0
281.45856875,6.3791943,A66BFF3F,1.0,,,,10.0
281.388045,12.1287737,A66BFF3F,1.0,,,,10.0
284.45626208333334,12.1651964,A66BFF3F,1.0,,,,10.0
284.37363625,18.6647091,A66BFF3F,1.0,,,,10.0
286.37549375000003,18.6882229,A66BFF3F,1.0,,,,10.0
286.40547749999996,16.3550682,A66BFF3F,1.0,,,,10.0
298.9211654166667,16.4957294,A66BFF3F,1.0,,,,10.0
298.926,16.0790844,A66BFF3F,1.0,,,,10.0
303.55899750000003,16.1275158,A66BFF3F,1.0,,,,10.0
303.636675,8.8779116,A66BFF3F,1.0,,,,10.0
306.01395625,8.9018240,A66BFF3F,1.0,,,,10.0
306.07910125,2.4021468,A66BFF3F,1.0,,,,10.0
309.57987749999995,2.4360874,A66BFF3F,1.0,,,,10.0
309.59884625,0.4361772,A66BFF3F,1.0,,,,10.0
309.6846479166666,-8.5634165,A66BFF3F,1.0,,,,10.0
301.69369625,-8.6430750,A66BFF3F,1.0,,,,10.0
301.72636958333334,-11.6762342,A66BFF3F,1.0,,,,10.0
284.74405375,-11.8664360,A66BFF3F,1.0,,,,10.0
