names,messier,caldwell,ngc,ic,type,constellation,ra,dec,mag,distance,colour
,,62,247,,Spiral Galaxy,Cet,11.775,-20.76666667,8.9,6800000,6BFFBFFF
Helix Nebula,,63,7293,,Planetary Nebula,Aqr,337.4,-20.8,6.5,522,6BFFBFFF
,,64,2362,,Open Cluster,CMa,109.7,-24.95,4.1,5100,6BFFBFFF
Sculptor Galaxy,,65,253,,Spiral Galaxy,Scl,11.9,-25.28333333,7.1,9800000,6BFFBFFF
,,66,5694,,Globular Cluster,Hya,219.9,-26.53333333,10.2,113000,6BFFBFFF
,,67,1097,,Barred Spiral Galaxy,For,41.575,-30.28333333,9.2,47000000,6BFFBFFF
,,68,6729,,Blushing Nebula,CrA,285.475,-36.95,9.7,424,6BFFBFFF
Bug Nebula,,69,6302,,Planetary Nebula,Sco,258.425,-37.1,12.8,5200,6BFFBFFF
,,70,300,,Spiral Galaxy,Scl,13.725,-37.68333333,8.1,3900000,6BFFBFFF
,,71,2477,,Open Cluster,Pup,118.075,-38.55,5.8,3700,6BFFBFFF
,,72,55,,Barred Spiral Galaxy,Scl,3.725,-39.18333333,8.2,4200000,6BFFBFFF
,,73,1851,,Globular Cluster,Col,78.525,-40.05,7.3,39400,6BFFBFFF
Eight Burst Nebula,,74,3132,,Planetary Nebula,Vel,151.925,-40.43333333,8.2,2000,6BFFBFFF
,,75,6124,,Open Cluster,Sco,246.4,-40.66666667,5.8,1500,6BFFBFFF
,,76,6231,,Open Cluster,Sco,253.5,-41.8,2.6,6000,6BFFBFFF
Centaurus A,,77,5128,,Lenticular Galaxy,Cen,201.375,-43.01666667,7,16000000,6BFFBFFF
,,78,6541,,Globular Cluster,CrA,272,-43.7,6.6,22300,6BFFBFFF
,,79,3201,,Globular Cluster,Vel,154.4,-46.41666667,6.7,17000,6BFFBFFF
Omega Centauri,,80,5139,,Globular Cluster,Cen,201.7,-47.48333333,3.6,17300,6BFFBFFF
,,81,6352,,Globular Cluster,Ara,261.375,-48.41666667,8.1,18600,6BFFBFFF
,,82,6193,,Open Cluster,Ara,250.325,-48.76666667,5.2,4300,6BFFBFFF
,,83,4945,,Spiral Galaxy,Cen,196.35,-49.46666667,9.5,17000000,6BFFBFFF
,,84,5286,,Globular Cluster,Cen,206.6,-51.36666667,7.6,36000,6BFFBFFF
Omicron Vel Cluster,,85,IC 2391,,Open Cluster,Vel,130.05,-53.06666667,2.5,500,6BFFBFFF
,,86,6397,,Globular Cluster,Ara,265.175,-53.66666667,5.6,7500,6BFFBFFF
,,87,1261,,Globular Cluster,Hor,48.075,-55.21666667,8.4,55500,6BFFBFFF
