names,messier,ngc,ic,object_type,constellation,ra,dec,mag,distance,colour
Ring Nebula,M57,NGC 6720,,Planetary Nebula,Lyra,283.4,33.03333333,8.8,4100,6BEEFFFF
,M58,NGC 4579,,Spiral Galaxy,Virgo,189.425,11.81666667,9.7,60000000,6BEEFFFF
,M59,NGC 4621,,Elliptical Galaxy,Virgo,190.5,11.65,9.6,60000000,6BEEFFFF
,M60,NGC 4649,,Elliptical Galaxy,Virgo,190.925,11.55,8.8,60000000,6BEEFFFF
,M61,NGC 4303,,Spiral Galaxy,Virgo,185.475,4.46666667,9.7,60000000,6BEEFFFF
,M62,NGC 6266,,Globular Cluster,Ophiuchus,255.3,-30.11666667,6.5,21500,6BEEFFFF
Sunflower Galaxy,M63,NGC 5055,,Spiral Galaxy,Canes Venatici,198.95,42.03333333,8.6,37000000,6BEEFFFF
Blackeye Galaxy;Sleeping Beauty Galaxy; Evil Eye Galaxy,M64,NGC 4826,,Spiral Galaxy,Coma Berenices,194.175,21.68333333,8.5,19000000,6BEEFFFF
,M65,NGC 3623,,Spiral Galaxy,Leo,169.725,13.08333333,9.3,35000000,6BEEFFFF
,M66,NGC 3627,,Spiral Galaxy,Leo,170.05,12.98333333,8.9,35000000,6BEEFFFF
,M67,NGC 2682,,Open Cluster,Cancer,132.6,11.81666667,6.1,2700,6BEEFFFF
,M68,NGC 4590,,Globular Cluster,Hydra,189.875,-26.75,7.8,33300,6BEEFFFF
,M69,NGC 6637,,Globular Cluster,Sagittarius,277.85,-32.35,7.6,26700,6BEEFFFF
,M70,NGC 6681,,Globular Cluster,Sagittarius,280.8,-32.3,7.9,28000,6BEEFFFF
,M71,NGC 6838,,Globular Cluster,Sagitta,298.45,18.78333333,8.3,11700,6BEEFFFF
,M72,NGC 6981,,Globular Cluster,Aquarius,313.375,-12.53333333,9.3,52800,6BEEFFFF
,M73,NGC 6994,,Group/Asterism,Aquarius,314.75,-12.63333333,9,2000,6BEEFFFF
,M74,NGC 628,,Spiral Galaxy,Pisces,24.175,15.78333333,9.4,35000000,6BEEFFFF
,M75,NGC 6864,,Globular Cluster,Sagittarius,301.525,-21.91666667,8.5,57700,6BEEFFFF
Little Dumbell Nebula;Cork Nebula;Butterfly Nebula;Barbell Nebula,M76,NGC 650,,Planetary Nebula,Perseus,25.575,51.56666667,10.1,3400,6BEEFFFF
Cetus A,M77,NGC 1068,,Spiral Galaxy,Cetus,40.675,0.01666667,8.9,60000000,6BEEFFFF
,M78,NGC 2068,,Diffuse Nebula,Orion,86.675,0.05,8.3,1600,6BEEFFFF
