object_id,names,messier,caldwell,ngc,ic,object_type,constellation,ra,dec,mag,distance,colour
0,Winecke 4,40,,,,Double Star,UMa,185.55,58.08333333,9.3,510,6BEEFFFF
0,,41,,2287,,Open Cluster,CMa,101.75,-20.73333333,4.6,2300,6BEEFFFF
0,Great Orion Nebula,42,,1976,,Diffuse Nebula,Ori,83.85,-5.45,4,1600,6BEEFFFF
0,de Mairan's Nebula,43,,1982,,Diffuse Nebula,Ori,83.9,-5.26666667,9,1600,6BEEFFFF
0,Beehive Cluster;Praesepe,44,,2632,,Open Cluster,Cnc,130.025,19.98333333,3.7,577,6BEEFFFF
0,Pleiades;Subaru;Seven Sisters,45,,,,Open Cluster,Tau,56.75,24.12,1.6,380,6BEEFFFF
0,,46,,2437,,Open Cluster,Pup,115.45,-14.81666667,6,5400,6BEEFFFF
0,,47,,2422,,Open Cluster,Pup,114.15,-14.5,5.2,1600,6BEEFFFF
0,,48,,2548,,Open Cluster,Hya,123.45,-5.8,5.5,1500,6BEEFFFF
0,,49,,4472,,Elliptical Galaxy,Vir,187.45,8,8.4,60000000,6BEEFFFF
0,,50,,2323,,Open Cluster,Mon,105.8,-8.33333333,6.3,3000,6BEEFFFF
0,Whirlpool Galaxy,51,,5194,,Spiral Galaxy,CVn,202.475,47.2,8.4,37000000,6BEEFFFF
0,,52,,7654,,Open Cluster,Cas,351.05,61.58333333,7.3,5000,6BEEFFFF
0,,53,,5024,,Globular Cluster,Com,198.225,18.16666667,7.6,56400,6BEEFFFF
0,,54,,6715,,Globular Cluster,Sgr,283.775,-30.48333333,7.6,82800,6BEEFFFF
0,,55,,6809,,Globular Cluster,Sgr,295,-30.96666667,6.3,16600,6BEEFFFF
0,,56,,6779,,Globular Cluster,Lyr,289.15,30.18333333,8.3,31600,6BEEFFFF
0,Ring Nebula,57,,6720,,Planetary Nebula,Lyr,283.4,33.03333333,8.8,4100,6BEEFFFF
0,,58,,4579,,Spiral Galaxy,Vir,189.425,11.81666667,9.7,60000000,6BEEFFFF
0,,59,,4621,,Elliptical Galaxy,Vir,190.5,11.65,9.6,60000000,6BEEFFFF
0,,60,,4649,,Elliptical Galaxy,Vir,190.925,11.55,8.8,60000000,6BEEFFFF
0,,61,,4303,,Spiral Galaxy,Vir,185.475,4.46666667,9.7,60000000,6BEEFFFF
0,,62,,6266,,Globular Cluster,Oph,255.3,-30.11666667,6.5,21500,6BEEFFFF
0,Sunflower Galaxy,63,,5055,,Spiral Galaxy,CVn,198.95,42.03333333,8.6,37000000,6BEEFFFF
0,Blackeye Galaxy;Sleeping Beauty Galaxy; Evil Eye Galaxy,64,,4826,,Spiral Galaxy,Com,194.175,21.68333333,8.5,19000000,6BEEFFFF
0,,65,,3623,,Spiral Galaxy,Leo,169.725,13.08333333,9.3,35000000,6BEEFFFF
0,,66,,3627,,Spiral Galaxy,Leo,170.05,12.98333333,8.9,35000000,6BEEFFFF
0,,67,,2682,,Open Cluster,Cnc,132.6,11.81666667,6.1,2700,6BEEFFFF
0,,68,,4590,,Globular Cluster,Hya,189.875,-26.75,7.8,33300,6BEEFFFF
0,,69,,6637,,Globular Cluster,Sgr,277.85,-32.35,7.6,26700,6BEEFFFF
0,,70,,6681,,Globular Cluster,Sgr,280.8,-32.3,7.9,28000,6BEEFFFF
0,,71,,6838,,Globular Cluster,Sge,298.45,18.78333333,8.3,11700,6BEEFFFF
0,,72,,6981,,Globular Cluster,Aqr,313.375,-12.53333333,9.3,52800,6BEEFFFF
0,,73,,6994,,Group/Asterism,Aqr,314.75,-12.63333333,9,2000,6BEEFFFF
0,,74,,628,,Spiral Galaxy,Psc,24.175,15.78333333,9.4,35000000,6BEEFFFF
0,,75,,6864,,Globular Cluster,Sgr,301.525,-21.91666667,8.5,57700,6BEEFFFF
0,Little Dumbell Nebula;Cork Nebula;Butterfly Nebula;Barbell Nebula,76,,650,,Planetary Nebula,Per,25.575,51.56666667,10.1,3400,6BEEFFFF
0,Cetus A,77,,1068,,Spiral Galaxy,Cet,40.675,0.01666667,8.9,60000000,6BEEFFFF
0,,78,,2068,,Diffuse Nebula,Ori,86.675,0.05,8.3,1600,6BEEFFFF
0,,79,,1904,,Globular Cluster,Lep,81.125,-24.55,7.7,41100,6BEEFFFF
0,,80,,6093,,Globular Cluster,Sco,244.25,-22.98333333,7.3,27400,6BEEFFFF
0,Bode's Galaxy,81,,3031,,Spiral Galaxy,UMa,148.9,69.06666667,6.9,12000000,6BEEFFFF
0,Cigar Galaxy,82,,3034,,Irregular Galaxy,UMa,148.95,69.68333333,8.4,12000000,6BEEFFFF
0,Southern Pinwheel Galaxy,83,,5236,,Spiral Galaxy,Hya,204.25,-29.86666667,7.6,15000000,6BEEFFFF
0,,84,,4374,,Lenticular (S0) Galaxy,Vir,186.275,12.88333333,9.1,60000000,6BEEFFFF
0,,85,,4382,,Lenticular (S0) Galaxy,Com,186.35,18.18333333,9.1,60000000,6BEEFFFF
0,,86,,4406,,Lenticular (S0) Galaxy,Vir,186.55,12.95,8.9,60000000,6BEEFFFF
0,Vir A,87,,4486,,Elliptical Galaxy,Vir,187.7,12.4,8.6,60000000,6BEEFFFF
0,,88,,4501,,Spiral Galaxy,Com,188,14.41666667,9.6,60000000,6BEEFFFF
0,,89,,4552,,Elliptical Galaxy,Vir,188.925,12.55,9.8,60000000,6BEEFFFF
0,,90,,4569,,Spiral Galaxy,Vir,189.2,13.16666667,9.5,60000000,6BEEFFFF
0,,91,,4548,,Spiral Galaxy,Com,188.85,14.5,10.2,60000000,6BEEFFFF
0,,92,,6341,,Globular Cluster,Her,259.275,43.13333333,6.4,26400,6BEEFFFF
0,,93,,2447,,Open Cluster,Pup,116.15,-23.86666667,6,3600,6BEEFFFF
0,,94,,4736,,Spiral Galaxy,CVn,192.725,41.11666667,8.2,14500000,6BEEFFFF
0,,95,,3351,,Spiral Galaxy,Leo,161,11.7,9.7,38000000,6BEEFFFF
0,,96,,3368,,Spiral Galaxy,Leo,161.7,11.81666667,9.2,38000000,6BEEFFFF
0,Owl Nebula,97,,3587,,Planetary Nebula,UMa,168.7,55.01666667,9.9,2600,6BEEFFFF
0,,98,,4192,,Spiral Galaxy,Com,183.45,14.9,10.1,60000000,6BEEFFFF
0,,99,,4254,,Spiral Galaxy,Com,184.7,14.41666667,9.9,60000000,6BEEFFFF
0,,100,,4321,,Spiral Galaxy,Com,185.725,15.81666667,9.3,60000000,6BEEFFFF
0,Pinwheel Galaxy,101,,5457,,Spiral Galaxy,UMa,210.8,54.35,7.9,27000000,6BEEFFFF
0,Spindle Galaxy,102,,5866,,Lenticular (S0) Galaxy,Dra,226.625,55.76666667,9.9,40000000,6BEEFFFF
0,,103,,581,,Open Cluster,Cas,23.3,60.7,7.4,8000,6BEEFFFF
0,Sombrero Galaxy,104,,4594,,Spiral Galaxy,Vir,190,-11.61666667,8,50000000,6BEEFFFF
0,,105,,3379,,Elliptical Galaxy,Leo,161.95,12.58333333,9.3,38000000,6BEEFFFF
0,,106,,4258,,Spiral Galaxy,CVn,184.75,47.3,8.4,25000000,6BEEFFFF
0,,107,,6171,,Globular Cluster,Oph,248.125,-13.05,7.9,19600,6BEEFFFF
0,,108,,3556,,Spiral Galaxy,UMa,167.875,55.66666667,10,45000000,6BEEFFFF
0,,109,,3992,,Spiral Galaxy,UMa,179.4,53.38333333,9.8,55000000,6BEEFFFF
0,Satellite of M31,110,,205,,Elliptical Galaxy,And,10.1,41.68333333,8.5,2900000,6BEEFFFF
